Wall time,Step,Value
1688704569.8823638,56,524.1263427734375
1688704634.531968,113,517.4484252929688
1688704699.291247,170,517.0804443359375
1688704763.9559016,227,516.3751220703125
1688704828.6915658,284,516.0441284179688
1688704893.4220462,341,515.515869140625
1688704958.2123694,398,515.3218994140625
1688705023.0125632,455,515.0548095703125
1688705087.8803468,512,514.8445434570312
1688705152.789275,569,515.2060546875
1688705217.6991181,626,514.9502563476562
1688705282.520941,683,514.2222900390625
1688705347.2662969,740,514.2635498046875
1688705412.1123543,797,514.01318359375
1688705476.9613721,854,514.2628173828125
1688705541.8570757,911,513.4978637695312
1688705606.6886866,968,513.4971313476562
1688705671.5894027,1025,513.2778930664062
1688705736.5070903,1082,512.9893798828125
1688705801.3720996,1139,512.948974609375
1688705866.2474093,1196,512.7426147460938
1688705931.0870452,1253,512.4019775390625
1688705995.9034603,1310,512.6609497070312
1688706060.7463315,1367,512.4116821289062
1688706125.5876324,1424,511.9049072265625
1688706190.465875,1481,512.16748046875
1688706255.258707,1538,512.2515869140625
1688706320.1756303,1595,511.7773132324219
1688706385.0906074,1652,511.6732177734375
1688706449.9719865,1709,511.38311767578125
1688706514.8300107,1766,511.2109069824219
1688706579.719039,1823,511.0088195800781
1688706644.5961707,1880,510.8759460449219
1688706709.4867728,1937,510.631591796875
1688706774.3075974,1994,510.62152099609375
1688706839.1638417,2051,510.289306640625
1688706903.9935257,2108,510.1643371582031
1688706968.820794,2165,510.4257507324219
1688707033.680168,2222,510.9991455078125
1688707098.5117886,2279,510.0487976074219
1688707163.380508,2336,509.66339111328125
1688707228.2313962,2393,509.5025329589844
1688707293.1292858,2450,509.39776611328125
1688707357.935606,2507,509.3890380859375
1688707422.8115988,2564,509.1027526855469
1688707487.6346235,2621,508.9806213378906
1688707552.524791,2678,508.75665283203125
1688707617.3410275,2735,508.6512451171875
1688707682.2128544,2792,508.5755615234375
1688707747.2202141,2849,508.5551452636719
1688707812.1207097,2906,508.618408203125
1688707876.9567888,2963,508.2510070800781
1688707941.734734,3020,508.0877990722656
1688708006.594805,3077,508.0765380859375
1688708071.4601488,3134,507.92047119140625
1688708136.3554134,3191,507.82550048828125
1688708201.2250483,3248,507.8182678222656
1688708266.1515625,3305,507.7312927246094
1688708331.0164783,3362,507.9324951171875
1688708395.8911934,3419,507.6532287597656
1688708460.8250651,3476,507.4521789550781
1688708525.7208068,3533,507.3757019042969
1688708590.564662,3590,507.3539123535156
1688708655.5438766,3647,507.3124084472656
1688708720.4462905,3704,507.327392578125
1688708785.3353808,3761,507.3806457519531
1688708850.2504563,3818,507.4908447265625
1688708914.9858937,3875,507.2772216796875
1688708979.8127472,3932,507.1673278808594
1688709044.7163863,3989,507.1153564453125
1688709109.5373104,4046,507.0379638671875
1688709174.402058,4103,507.0050048828125
1688709239.2996645,4160,507.0894470214844
1688709304.1552565,4217,506.98175048828125
1688709368.914393,4274,506.85418701171875
1688709433.6681328,4331,506.7994079589844
1688709498.4985518,4388,506.7738952636719
1688709563.3003564,4445,506.76617431640625
1688709628.1032336,4502,506.918701171875
1688709692.95966,4559,506.8858947753906
1688709757.7268312,4616,506.9208984375
1688709822.525347,4673,506.7953186035156
1688709887.375111,4730,506.70684814453125
1688709952.236913,4787,506.6784362792969
1688710016.9914148,4844,506.6396484375
1688710081.9355297,4901,506.6737365722656
1688710146.9609568,4958,506.6499328613281
1688710212.0006187,5015,506.5896911621094
1688710276.828939,5072,506.5926818847656
1688710341.7682538,5129,506.62548828125
1688710406.7142177,5186,506.6007080078125
1688710471.7079186,5243,506.5497131347656
1688710536.681177,5300,506.51959228515625
1688710601.5401323,5357,506.5268859863281
1688710666.4783814,5414,506.505615234375
1688710731.4129608,5471,506.48431396484375
1688710796.345964,5528,506.50457763671875
1688710861.2810178,5585,506.4500427246094
1688710926.2587473,5642,506.4615478515625
1688710991.3337197,5699,506.48101806640625
